time_s,aggregate_nominal_interference_w,aggregate_safe_interference_w,aggregate_allowance_w,budget_sum_w,local_violation_count,network_nominal_sum_se_bps_hz,network_safe_sum_se_bps_hz,rate_retention_fraction,minimum_pol_scale,median_pol_scale
264.0,2.2748684287727517e-10,4.5106851026454314e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.930587971646,0.9915792491604143,0.014081305722386998,0.014081311640172662
265.0,2.2378156325322478e-10,4.5106851026454206e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9311060988043,0.9915801989387223,0.014197403247479234,0.014197409214055845
266.0,2.2012976194634831e-10,4.5106851026454156e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9316479147576,0.9915811921409337,0.014314681433244944,0.01431468744910869
267.0,2.165416158179368e-10,4.5106851026454484e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9321844333947,0.9915821756326406,0.01443279299901828,0.014432799064519391
268.0,2.1301596882855198e-10,4.5106851026454497e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9327381571453,0.9915831906630217,0.014551742080058308,0.014551748195548758
269.0,2.0955168836543879e-10,4.51068510264543e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9332812788595,0.9915841862588218,0.014671532744844886,0.014671538910678357
270.0,2.061476647180473e-10,4.510685102645426e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9338521077461,0.9915852326446085,0.014792168990805536,0.014792175207337391
271.0,2.0280281056500478e-10,4.5106851026454276e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9344155511051,0.9915862654919927,0.014913654739948264,0.014913661007535516
272.0,1.9951606047246763e-10,4.510685102645431e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9349715773646,0.9915872847431004,0.015035993834395538,0.01503600015339681
273.0,1.9628637040456575e-10,4.510685102645441e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9355366435532,0.9915883205652917,0.015159190031783648,0.015159196402559146
274.0,1.9322946959430323e-10,4.510685102645464e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9360754204525,0.9915893081966166,0.01527862911123052,0.015278635532201282
275.0,1.9018566751273396e-10,4.510685102645433e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9366324189662,0.9915903292299622,0.015400406232055158,0.015400412704203763
276.0,1.8719516770557921e-10,4.510685102645428e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9372027904803,0.9915913747773398,0.015522931914269473,0.015522938437910517
277.0,1.8425701173683373e-10,4.510685102645438e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9377599499265,0.9915923961056907,0.015646206493921056,0.015646213069369266
278.0,1.8137026027092082e-10,4.5106851026454276e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9383255964688,0.9915934329917276,0.01577023014430336,0.015770236771873537
279.0,1.7853399264775605e-10,4.5106851026454326e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9389096516726,0.9915945036226613,0.015895002870527742,0.015895009550534696
280.0,1.7574730646608916e-10,4.510685102645427e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9394775588141,0.9915955446526004,0.016020524504094413,0.016020531236852868
281.0,1.7300931717768622e-10,4.510685102645442e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.940070354853,0.9915966313063489,0.016146794697346898,0.016146801483171457
282.0,1.7031915769107377e-10,4.510685102645417e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.940644815339,0.9915976843492164,0.016273812917855075,0.016273819757060097
283.0,1.676759779828049e-10,4.510685102645429e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9412254944054,0.9915987487913563,0.016401578442818084,0.016401585335717627
284.0,1.6529245804578676e-10,4.5106851026454225e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9417689893471,0.9915997450713193,0.016519410691626116,0.016519417634045637
285.0,1.629444650711049e-10,4.510685102645448e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9423085720355,0.9916007341797353,0.016638005478983253,0.016638012471243222
